DIMM-1C          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-2C          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-2C          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-3C          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-3C          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-1D          | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
DIMM-1D          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-2D          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-2D          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-3D          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-3D          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-1E          | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
DIMM-1E          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-2E          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-2E          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-3E          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-3E          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-1F          | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
DIMM-1F          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-2F          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-2F          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-3F          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-3F          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-3A          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-3B          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-3C          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-3D          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-3E          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
DIMM-3F          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Watchdog         | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
iRMC request     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
I2C1             | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
I2C2             | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
I2C3             | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
I2C4             | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
I2C5             | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
I2C6             | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
Config backup    | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
Total Power      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
PSU1 Power       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
PSU2 Power       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
CPU1 Power       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
CPU2 Power       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Memory Power     | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Fan Power        | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
HDD Power        | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Power Level      | 0x3        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Power Level      | 0x3        | discrete   | 0x0880| na        | na        | na        | na        | na        | na        
CPU detection    | 0x3        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
System Mgmt SW   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
NMI              | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
Local Monitor    | 0x1        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
Pwr Btn override | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
System BIOS      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
iRMC             | na         | discrete   | na    | na        | na        | na        | na        | na        | na  
